source	https://www.clarin.si/ske/bonito/run.cgi/wordlist?corpname=hrwac&format=json&wlmaxitems=1000&wlsort=frq&wlattr=word&wlpat=.%2A&wlminfreq=1&wlicase=1&wlmaxfreq=0&wlnums=&wltype=simple&include_nonwords=0&random=0&relfreq=1&reldocf=1&wlpage=1
corpus	CLARIN.SI hrWaC (Croatian Web), 1,210,021,198 tokens
retrieved	2026-08-26
sha256	3828b6ed151ee2fcf25e6b0a7d4ecb7093ac50384ffe0d5292a057d9a8faccb0
filter	NFC; Croatian alphabet only; length 2-15; case-folded unique; first 256 by rank

rank	word	count
2	je	38313655
4	se	21671555
5	da	19930995
6	na	19212192
7	za	12993593
8	su	12029021
10	ne	8771577
11	od	8509388
12	to	7513690
14	koji	6536973
15	što	5665853
16	će	5112772
18	bi	4946802
19	sam	4536062
20	nije	4520733
21	kao	4381565
22	kako	4348068
23	iz	4302180
24	ali	4132026
25	te	4060777
26	ili	3892533
27	sa	3574118
28	sve	3428160
29	do	3174880
30	samo	3100439
31	pa	3081800
32	koje	2974110
33	jer	2961836
34	mi	2958484
35	po	2684680
36	koja	2519806
37	ako	2456323
38	tako	2446528
39	biti	2409228
40	još	2243578
41	više	2158064
42	godine	2127325
43	kad	2126633
44	ja	2109557
45	nakon	2066380
46	bilo	2025855
47	smo	2023357
48	ima	2016280
49	ti	1922034
50	ga	1896989
51	već	1890664
52	bio	1844186
53	može	1708059
54	li	1667447
55	ni	1628353
56	zbog	1591064
57	no	1487567
58	ih	1471473
59	kada	1458770
60	nego	1450766
61	uz	1440731
62	prema	1390052
63	prije	1355284
64	bez	1350881
65	dok	1280044
66	dana	1275063
67	nema	1264555
68	on	1262405
69	onda	1247048
70	mogu	1245266
71	bila	1242592
72	godina	1242216
73	ljudi	1240519
74	mu	1226548
75	nisu	1219612
76	jedan	1196891
77	kod	1191656
78	treba	1140834
79	si	1137330
80	oko	1127915
81	me	1125568
82	malo	1112326
83	toga	1106491
84	tu	1105725
85	svoje	1088568
86	danas	1069378
87	vrijeme	1039662
88	gdje	1025996
89	nas	1024954
90	svi	1002607
91	taj	995816
92	sada	994637
93	nešto	993047
94	oni	991601
95	nam	981511
96	im	954775
97	dobro	930083
98	radi	908844
99	ovo	907343
100	tome	899191
101	sad	890642
102	koju	876486
103	uvijek	850171
104	dva	847881
105	koliko	825901
106	ove	823455
107	ono	812923
108	neki	809924
109	nisam	803551
110	vrlo	801788
111	ona	789264
112	bili	784051
113	hrvatske	783691
114	sto	772703
115	ovaj	747725
116	pod	746194
117	ipak	746011
118	bih	740733
119	iako	738000
120	nekoliko	737982
121	zato	735359
122	puno	732778
123	tri	724882
124	protiv	723812
125	prvi	722986
126	rekao	716406
127	možda	706943
128	kojima	698111
129	tko	696705
130	čak	692236
131	način	689861
132	the	685464
133	vam	676674
134	dio	675692
135	imaju	671250
136	osim	667122
137	niti	661445
138	dan	661407
139	mislim	659273
140	baš	656508
141	drugi	648108
142	kuna	644766
143	hrvatskoj	636665
144	neće	633204
145	njih	629179
146	ništa	628923
147	znam	625047
148	mora	619720
149	svoj	617143
150	svojim	617111
151	kroz	612999
152	također	611131
153	put	607799
154	posto	600307
155	puta	594587
156	jednom	591731
157	tek	591410
158	tom	589762
159	kojem	583592
160	meni	583581
161	ste	583534
162	preko	583438
163	kaže	582691
164	dvije	579333
165	svoju	574011
166	neke	565769
167	između	564646
168	kojoj	563329
169	isto	561547
170	vas	554350
171	dalje	551444
172	ta	547556
173	jedna	543141
174	jako	542798
175	one	535397
176	druge	532211
177	odnosno	531934
178	joj	529982
179	novi	521144
180	zašto	521090
181	strane	518064
182	upravo	518021
183	svih	512408
184	opet	511237
185	stvari	508739
186	naravno	508641
187	broj	507640
188	vremena	497509
189	zna	496684
190	njega	495382
191	svaki	495130
192	bolje	493207
193	tada	483603
194	manje	483201
195	toliko	482384
196	mjesto	481360
197	mene	481145
198	među	479723
199	tijekom	479632
200	netko	479137
201	tim	477285
202	milijuna	475184
203	sebe	471954
204	postoji	468541
205	neka	467488
206	tamo	463152
207	hrvatska	461506
208	problem	461116
209	ćemo	456277
210	pred	455155
211	pitanje	443882
212	život	443664
213	ću	439609
214	dakle	432066
215	ovdje	430904
216	znači	430313
217	grada	423791
218	mogao	422312
219	imati	422085
220	bude	421340
221	ovom	419465
222	poput	419443
223	pri	418472
224	bit	417896
225	svim	414915
226	kraju	413555
227	kojeg	409739
228	sati	407581
229	gotovo	405295
230	imao	402909
231	reći	401887
232	njima	391542
233	ce	390045
234	imam	388272
235	ko	387667
236	posebno	386222
237	osoba	384800
238	predsjednik	382848
239	naime	379657
240	ovog	379283
241	riječ	378912
242	ova	375791
243	prava	369838
244	moj	365953
245	života	365938
246	pravo	365205
247	mjesta	364366
248	of	362947
249	šta	361951
250	zapravo	358778
251	možete	357730
252	par	357621
253	nove	356705
254	čini	354165
255	tog	354021
256	godinu	353485
257	ma	353286
258	vi	352018
259	teško	350801
260	svijetu	350662
261	naše	349418
