source	https://korpus.juls.savba.sk/files/prim-11.0/prim-11.0-public-all-word_frequency_non_case_sensitive_top1000.html
retrieved	2026-08-25
sha256	b65f4a34d124c791d4fe25cc922b64b1f5c5e86701e87b1257e1eacbb0941abe
filter	NFC; Slovak alphabet only; length 2-15; case-folded unique; first 256 by rank

rank	word	count
5	sa	32372589
6	na	30503763
8	je	14910648
9	že	13066480
10	to	11408481
15	aj	10955495
17	do	9678077
20	ako	9136011
21	si	8567996
23	som	6931640
25	za	5897291
26	po	5613401
27	ale	5414320
28	by	5395544
29	pre	5335609
31	už	4920389
32	čo	4792047
34	sme	4195843
35	keď	4175377
36	od	4010469
37	sú	3684379
38	ktoré	3607993
39	tak	3568819
40	vo	3535779
41	ich	3528582
42	aby	3455320
43	jeho	3394563
44	pri	3323165
45	nie	3322383
46	ktorý	3288970
47	len	3247608
48	však	3209257
49	bol	2836908
50	ho	2754401
51	podľa	2709624
52	alebo	2645383
53	jej	2637712
54	bude	2580645
55	či	2498186
56	ani	2366560
57	má	2333690
58	pred	2328698
59	ešte	2292931
60	zo	2247103
61	roku	2236861
62	ak	2203809
63	až	2185025
65	so	2137608
67	bolo	2119261
69	mu	1908749
70	ktorá	1848365
71	bola	1828822
72	boli	1777571
73	mi	1751022
76	byť	1675430
77	tom	1654015
78	veľmi	1650815
79	medzi	1590725
80	ju	1583669
81	viac	1572883
82	kde	1510916
83	no	1465149
85	ktorí	1392633
86	potom	1383086
87	povedal	1379958
88	mal	1369514
89	tu	1355329
90	nás	1331333
91	iba	1329908
92	bez	1310596
93	rokov	1300437
94	preto	1264531
95	môže	1219624
96	toho	1214156
97	ste	1210167
98	mali	1202269
99	tým	1202135
100	ma	1193709
101	pod	1156733
102	nám	1145194
103	dnes	1143462
104	ľudí	1142364
105	tam	1138707
106	tento	1134798
108	všetko	1096928
109	nad	1062373
110	budú	1053563
111	teraz	1045361
113	majú	1041143
114	ja	1025465
115	svoje	1004469
116	ten	1003449
117	možno	994111
118	nich	975465
121	proti	959724
122	lebo	959024
123	práve	956534
124	počas	949280
125	im	948136
126	teda	947765
127	tejto	940690
129	rok	909969
130	nič	905445
131	najmä	899036
132	tomu	842107
133	napríklad	837766
134	jeden	834918
135	eur	822946
136	všetky	816887
138	tiež	797822
139	ľudia	796493
140	sr	795900
141	niečo	782625
142	stále	780025
143	pretože	778013
144	mala	771672
145	slovensku	768693
146	nej	760733
147	ktorých	760704
148	asi	760588
149	vždy	759280
150	mať	750606
151	ide	748041
152	tomto	745222
153	deň	739208
154	okrem	738869
155	tohto	737952
158	cez	730838
159	všetkých	725430
160	ktorú	724652
161	každý	714441
162	prípade	709671
163	spoločnosti	703858
165	tri	698235
166	hovorí	694408
167	dobre	694290
168	takmer	689231
169	bratislava	684224
170	kto	682800
172	ktorej	677949
174	svoju	667468
175	dva	662891
176	treba	661738
179	deti	645717
180	miesto	637497
181	prečo	636816
182	vám	635481
183	život	634663
184	vás	630279
185	čas	629521
186	práce	628211
187	neho	627423
188	môžu	619703
189	raz	618354
190	svojich	615371
191	keby	603791
192	prvý	603434
193	toto	601973
195	hoci	600741
196	zatiaľ	598658
197	svojej	598349
198	vtedy	595807
200	dve	594776
201	veľa	594734
202	totiž	594686
203	spolu	591144
204	svoj	589055
205	roka	584531
206	svojho	580095
207	mesta	579967
208	mňa	579811
209	nikdy	576913
210	musí	576346
211	nové	575593
212	niekoľko	575154
213	ktorého	567904
214	strany	565289
215	kým	562558
216	dvoch	562063
217	tieto	561114
218	nielen	561030
219	okolo	560594
220	všetci	554204
221	napriek	551834
222	tie	548629
223	opäť	547747
224	slovenskej	543659
225	mohli	542345
226	čase	540571
228	slovenska	531716
229	človek	530797
230	on	525977
231	života	521649
232	ďalšie	516365
234	zároveň	514455
235	slovensko	513730
236	ďalej	507465
237	chce	505128
238	mám	504844
240	skôr	500065
241	rokoch	499203
242	peter	497828
243	my	495216
244	sveta	491912
245	oblasti	491571
246	rámci	491334
247	percent	489817
248	ním	483525
249	týchto	483316
250	seba	482052
251	sk	477021
252	vôbec	474728
253	iné	472920
254	ku	471895
255	mohol	471870
256	druhej	471799
258	usa	471424
259	časti	469024
260	celý	468878
261	mesto	465312
262	roky	463554
263	keďže	463496
264	často	462373
265	ján	460031
266	ňom	459042
268	než	454580
269	sám	453234
270	naozaj	452749
271	dokonca	452597
272	máme	451779
273	neskôr	447071
274	časť	441744
275	spoločnosť	441553
276	ktorom	437241
277	tých	434901
278	určite	428566
279	vlády	428390
280	martin	428122
283	táto	424835
284	povedala	424248
286	akoby	422403
287	školy	420406
288	hneď	418505
289	celkom	418336
290	túto	417775
291	zápas	416252
293	aspoň	415222
296	najviac	408393
297	góly	408052
299	tá	407341
300	vďaka	407191
301	takže	406879
302	dňa	406212
303	veci	405190
305	tasr	398726
306	ti	398409
